geoName,김건희,김정숙,김혜경,timeframe
경상북도,100,0,0,2024-03-01 2024-03-31
광주광역시,0,100,0,2024-03-01 2024-03-31
대구광역시,100,0,0,2024-03-01 2024-03-31
대전광역시,100,0,0,2024-03-01 2024-03-31
부산광역시,100,0,0,2024-03-01 2024-03-31
서울특별시,78,9,13,2024-03-01 2024-03-31
울산광역시,0,0,0,2024-03-01 2024-03-31
인천광역시,100,0,0,2024-03-01 2024-03-31
전라남도,100,0,0,2024-03-01 2024-03-31
전라북도,0,0,0,2024-03-01 2024-03-31
제주특별자치도,0,0,0,2024-03-01 2024-03-31
충청남도,100,0,0,2024-03-01 2024-03-31
충청북도,0,0,0,2024-03-01 2024-03-31
강원도,100,0,0,2024-04-01 2024-04-30
경기도,94,0,6,2024-04-01 2024-04-30
경상남도,100,0,0,2024-04-01 2024-04-30
경상북도,100,0,0,2024-04-01 2024-04-30
광주광역시,100,0,0,2024-04-01 2024-04-30
대구광역시,100,0,0,2024-04-01 2024-04-30
대전광역시,100,0,0,2024-04-01 2024-04-30
부산광역시,100,0,0,2024-04-01 2024-04-30
서울특별시,92,3,5,2024-04-01 2024-04-30
울산광역시,100,0,0,2024-04-01 2024-04-30
인천광역시,100,0,0,2024-04-01 2024-04-30
전라남도,100,0,0,2024-04-01 2024-04-30
전라북도,100,0,0,2024-04-01 2024-04-30
제주특별자치도,0,0,0,2024-04-01 2024-04-30
충청남도,100,0,0,2024-04-01 2024-04-30
충청북도,100,0,0,2024-04-01 2024-04-30
강원도,99,1,0,2024-05-01 2024-05-31
경기도,87,13,0,2024-05-01 2024-05-31
경상남도,98,2,0,2024-05-01 2024-05-31
경상북도,96,4,0,2024-05-01 2024-05-31
광주광역시,97,3,0,2024-05-01 2024-05-31
대구광역시,98,2,0,2024-05-01 2024-05-31
대전광역시,98,2,0,2024-05-01 2024-05-31
부산광역시,97,3,0,2024-05-01 2024-05-31
서울특별시,85,10,5,2024-05-01 2024-05-31
울산광역시,100,0,0,2024-05-01 2024-05-31
인천광역시,98,2,0,2024-05-01 2024-05-31
전라남도,100,0,0,2024-05-01 2024-05-31
전라북도,100,0,0,2024-05-01 2024-05-31
제주특별자치도,100,0,0,2024-05-01 2024-05-31
충청남도,98,2,0,2024-05-01 2024-05-31
충청북도,100,0,0,2024-05-01 2024-05-31
강원도,61,34,5,2024-06-01 2024-06-30
경기도,64,33,3,2024-06-01 2024-06-30
경상남도,59,38,3,2024-06-01 2024-06-30
경상북도,62,34,4,2024-06-01 2024-06-30
광주광역시,76,24,0,2024-06-01 2024-06-30
대구광역시,64,33,3,2024-06-01 2024-06-30
대전광역시,67,29,4,2024-06-01 2024-06-30
부산광역시,61,36,3,2024-06-01 2024-06-30
서울특별시,65,33,2,2024-06-01 2024-06-30
울산광역시,66,34,0,2024-06-01 2024-06-30
인천광역시,66,31,3,2024-06-01 2024-06-30
전라남도,73,27,0,2024-06-01 2024-06-30
전라북도,69,31,0,2024-06-01 2024-06-30
제주특별자치도,76,24,0,2024-06-01 2024-06-30
충청남도,63,33,4,2024-06-01 2024-06-30
충청북도,68,32,0,2024-06-01 2024-06-30
