period,ratio,title,device
2024-02-05,5.17818,김혜경,mo
2024-02-12,11.76564,김혜경,mo
2024-02-19,5.14495,김혜경,mo
2024-02-26,22.75347,김혜경,mo
2024-03-04,9.21617,김혜경,mo
2024-03-11,2.93102,김혜경,mo
2024-03-18,2.47021,김혜경,mo
2024-03-25,2.68943,김혜경,mo
2024-04-01,2.42675,김혜경,mo
2024-04-08,8.13094,김혜경,mo
2024-04-15,2.6268,김혜경,mo
2024-04-22,3.02497,김혜경,mo
2024-04-29,3.79895,김혜경,mo
2024-05-06,5.7061,김혜경,mo
2024-05-13,1.44122,김혜경,mo
2024-05-20,3.81237,김혜경,mo
2024-05-27,2.11741,김혜경,mo
2024-06-03,1.99215,김혜경,mo
