period,ratio,title,gender
2023-06-26,1.67009,김정숙,f
2023-07-03,1.8918,김정숙,f
2023-07-10,2.27281,김정숙,f
2023-07-17,2.17723,김정숙,f
2023-07-24,1.31828,김정숙,f
2023-07-31,1.87454,김정숙,f
2023-08-07,1.42316,김정숙,f
2023-08-14,2.07102,김정숙,f
2023-08-21,1.30633,김정숙,f
2023-08-28,1.25987,김정숙,f
2023-09-04,1.35545,김정숙,f
2023-09-11,1.36076,김정숙,f
2023-09-18,1.84002,김정숙,f
2023-09-25,1.25854,김정숙,f
2023-10-02,0.9917,김정숙,f
2023-10-09,0.92532,김정숙,f
2023-10-16,1.0594,김정숙,f
2023-10-23,1.63425,김정숙,f
2023-10-30,1.0448,김정숙,f
2023-11-06,0.9293,김정숙,f
2023-11-13,1.56654,김정숙,f
2023-11-20,1.59973,김정숙,f
2023-11-27,1.82675,김정숙,f
2023-12-04,1.67275,김정숙,f
2023-12-11,1.59575,김정숙,f
2023-12-18,1.30633,김정숙,f
2023-12-25,3.48888,김정숙,f
2024-01-01,8.06903,김정숙,f
2024-01-08,3.79024,김정숙,f
2024-01-15,1.83338,김정숙,f
2024-01-22,2.70029,김정숙,f
2024-01-29,1.43909,김정숙,f
2024-02-05,1.71125,김정숙,f
2024-02-12,2.79721,김정숙,f
2024-02-19,1.33289,김정숙,f
2024-02-26,1.40059,김정숙,f
2024-03-04,1.52538,김정숙,f
2024-03-11,1.14437,김정숙,f
2024-03-18,0.90939,김정숙,f
2024-03-25,1.1072,김정숙,f
2024-04-01,2.33123,김정숙,f
2024-04-08,3.35612,김정숙,f
2024-04-15,2.76003,김정숙,f
2024-04-22,1.1072,김정숙,f
2024-04-29,1.04613,김정숙,f
2024-05-06,1.71257,김정숙,f
2024-05-13,3.19548,김정숙,f
2024-05-20,6.17988,김정숙,f
2024-05-27,5.71523,김정숙,f
2024-06-03,12.43677,김정숙,f
2023-06-05,0.53368,김혜경,f
2023-06-12,0.59077,김혜경,f
2023-06-19,0.9678,김혜경,f
2023-06-26,0.52041,김혜경,f
2023-07-03,0.51642,김혜경,f
2023-07-10,0.6691,김혜경,f
2023-07-17,0.75672,김혜경,f
2023-07-24,0.62263,김혜경,f
2023-07-31,1.36209,김혜경,f
2023-08-07,1.65283,김혜경,f
2023-08-14,1.27049,김혜경,f
2023-08-21,1.63956,김혜경,f
2023-08-28,0.94922,김혜경,f
2023-09-04,1.00232,김혜경,f
2023-09-11,1.38864,김혜경,f
2023-09-18,4.92665,김혜경,f
2023-09-25,2.27945,김혜경,f
2023-10-02,0.92797,김혜경,f
2023-10-09,1.0063,김혜경,f
2023-10-16,2.55559,김혜경,f
2023-10-23,0.94789,김혜경,f
2023-10-30,0.63192,김혜경,f
2023-11-06,0.95054,김혜경,f
2023-11-13,0.77397,김혜경,f
2023-11-20,0.60935,김혜경,f
2023-11-27,0.59741,김혜경,f
2023-12-04,1.2997,김혜경,f
2023-12-11,0.62263,김혜경,f
2023-12-18,0.88018,김혜경,f
2023-12-25,0.78592,김혜경,f
2024-01-01,2.35114,김혜경,f
2024-01-08,1.15632,김혜경,f
2024-01-15,1.22004,김혜경,f
2024-01-22,0.90806,김혜경,f
2024-01-29,1.06339,김혜경,f
2024-02-05,2.95253,김혜경,f
2024-02-12,6.1905,김혜경,f
2024-02-19,2.76003,김혜경,f
2024-02-26,14.0843,김혜경,f
2024-03-04,4.47261,김혜경,f
2024-03-11,1.8918,김혜경,f
2024-03-18,1.56654,김혜경,f
2024-03-25,1.75107,김혜경,f
2024-04-01,1.82807,김혜경,f
2024-04-08,6.90341,김혜경,f
2024-04-15,2.41885,김혜경,f
2024-04-22,2.20245,김혜경,f
2024-04-29,2.68702,김혜경,f
2024-05-06,4.55094,김혜경,f
2024-05-13,1.01825,김혜경,f
2024-05-20,2.60869,김혜경,f
2024-05-27,1.37271,김혜경,f
2024-06-03,1.39263,김혜경,f
